paper_id,covidence_id,title,authors,resolved_source_category,resolved_source_subtype,ready_text_json_path,ready_source_kind,ready_text_mode,ready_source_detail,ready_source_input_path,source_text_json_path,llm_candidate_json_path,llm_trimmed_json_path,gold_json_path,ready_start_line_global_index,ready_end_line_global_index_exclusive,llm_trim_status,llm_validation_passed,llm_validation_reason,ready_reason,published_at_utc
1231,1231,Therapeutic challenges of stiff person syndrome: A case report,Varga E.T.; Gyorgyi Md T.; Vecsei L.,conference_abstract,single_case_conference_abstract,data\extraction_json\text_proceedings_ready\1231.json,gold_manual,trimmed_abstract,active_gold_manifest,qa\trimming\gold_standard\papers\1231.json,data\extraction_json\text\1231.json,,,qa\trimming\gold_standard\papers\1231.json,20490,20531,,,,Published active manually checked gold-standard proceedings trim.,2026-04-13T03:13:16.991036+00:00
1233,1233,Stiff person syndrome,Dosekova P.; Krastev G.; Haring J.; Lackovic R.,conference_abstract,multi_case_conference_abstract,data\extraction_json\text_proceedings_ready\1233.json,gold_manual,trimmed_abstract,active_gold_manifest,qa\trimming\gold_standard\papers\1233.json,data\extraction_json\text\1233.json,,,qa\trimming\gold_standard\papers\1233.json,71561,71599,,,,Published active manually checked gold-standard proceedings trim.,2026-04-13T03:13:16.994355+00:00
1237,1237,Stiff person syndrome: Case series,Sasse E.; Amorelli G.; Spitz M.; Germano C.S.B.; Vasconcellos L.F.,conference_abstract,multi_case_conference_abstract,data\extraction_json\text_proceedings_ready\1237.json,gold_manual,trimmed_abstract,active_gold_manifest,qa\trimming\gold_standard\papers\1237.json,data\extraction_json\text\1237.json,,,qa\trimming\gold_standard\papers\1237.json,73426,73469,,,,Published active manually checked gold-standard proceedings trim.,2026-04-13T03:13:16.997705+00:00
1239,1239,Stiff-person syndrome and hypogammaglobulinaemia: An unusual combination,Suratannon N.; Dalm V.; Van Bilsen K.; Van Paassen P.; Tervaert J.W.C.; Driessen G.J.; Wentink M.W.; Van Der Burg M.; Van Hagen P.M.,conference_abstract,single_case_conference_abstract,data\extraction_json\text_proceedings_ready\1239.json,gold_manual,trimmed_abstract,active_gold_manifest,qa\trimming\gold_standard\papers\1239.json,data\extraction_json\text\1239.json,,,qa\trimming\gold_standard\papers\1239.json,6196,6275,,,,Published active manually checked gold-standard proceedings trim.,2026-04-13T03:13:17.000857+00:00
1242,1242,Stiff-person syndrome in association with cerebellar ataxia: Overlapping syndrome: A case report,Chauhan V.H.; Jowkar A.A.,conference_abstract,single_case_conference_abstract,data\extraction_json\text_proceedings_ready\1242.json,gold_manual,trimmed_abstract,active_gold_manifest,qa\trimming\gold_standard\papers\1242.json,data\extraction_json\text\1242.json,,,qa\trimming\gold_standard\papers\1242.json,26408,26422,,,,Published active manually checked gold-standard proceedings trim.,2026-04-13T03:13:17.004750+00:00
1245,1245,Bilateral hip fracture during hospitalization for spasm exacerbation in an adult with stiff person syndrome: A case report,Podobinski T.K.; Mimbella P.C.; Irvine M.J.; Verduzco-Gutierrez M.,conference_abstract,single_case_conference_abstract,data\extraction_json\text_proceedings_ready\1245.json,gold_manual,trimmed_abstract,active_gold_manifest,qa\trimming\gold_standard\papers\1245.json,data\extraction_json\text\1245.json,,,qa\trimming\gold_standard\papers\1245.json,107,139,,,,Published active manually checked gold-standard proceedings trim.,2026-04-13T03:13:17.007977+00:00
1246,1246,Acute rehabilitation of a patient with stiff person syndrome (SPS) and GAD-antibody cerebellar Ataxia: A case report,Strong N.A.; Love N.F.; Brusky K.M.; Salim S.,conference_abstract,single_case_conference_abstract,data\extraction_json\text_proceedings_ready\1246.json,gold_manual,trimmed_abstract,active_gold_manifest,qa\trimming\gold_standard\papers\1246.json,data\extraction_json\text\1246.json,,,qa\trimming\gold_standard\papers\1246.json,83,129,,,,Published active manually checked gold-standard proceedings trim.,2026-04-13T03:13:17.011395+00:00
1249,1249,Thymic abnormalities and stiff person syndrome,Yanlin R.C.; Kabir T.; Asmat A.; Basheer D.; Aneez A.,conference_abstract,multi_case_conference_abstract,data\extraction_json\text_proceedings_ready\1249.json,source_text_passthrough,full_text_passthrough,single_abstract_passthrough,data\extraction_json\text\1249.json,data\extraction_json\text\1249.json,,,,4,40,,,,Resolved conference abstract did not require proceedings trimming; published the source abstract text as-is.,2026-04-13T03:13:17.029790+00:00
1251,1251,Double trouble: Opisthotonos associated with guillain-barre Syndrome and GAD autoantibody,Alwis A.; Ram D.; Vassallo G.,conference_abstract,single_case_conference_abstract,data\extraction_json\text_proceedings_ready\1251.json,gold_manual,trimmed_abstract,active_gold_manifest,qa\trimming\gold_standard\papers\1251.json,data\extraction_json\text\1251.json,,,qa\trimming\gold_standard\papers\1251.json,5484,5529,,,,Published active manually checked gold-standard proceedings trim.,2026-04-13T03:13:17.032941+00:00
1257,1257,Left-side asymmetry in cortical and spinal inhibitory circuits in stiff-person syndrome: A case report,Bocek V.; Cvickova B.; Peisker T.; Stetkarova I.,conference_abstract,single_case_conference_abstract,data\extraction_json\text_proceedings_ready\1257.json,gold_manual,trimmed_abstract,active_gold_manifest,qa\trimming\gold_standard\papers\1257.json,data\extraction_json\text\1257.json,,,qa\trimming\gold_standard\papers\1257.json,20,51,,,,Published active manually checked gold-standard proceedings trim.,2026-04-13T03:13:17.036365+00:00
1332,1332,Stiff face syndrome associated with glycine receptor antibodies,Gadian J.; Lascelles K.; Lim M.,conference_abstract,single_case_conference_abstract,data\extraction_json\text_proceedings_ready\1332.json,gold_manual,trimmed_abstract,active_gold_manifest,qa\trimming\gold_standard\papers\1332.json,data\extraction_json\text\1332.json,,,qa\trimming\gold_standard\papers\1332.json,749,795,,,,Published active manually checked gold-standard proceedings trim.,2026-04-13T03:13:17.041132+00:00
1333,1333,Glycine antibody mediated progressive encephalomyelitis with rigidity and myoclonus (PERM): A paediatric presentation,Kariyawasam D.S.T.; Hildebrand D.; Jayawant S.; Palace J.; Leite M.I.; Ramdas S.,conference_abstract,single_case_conference_abstract,data\extraction_json\text_proceedings_ready\1333.json,gold_manual,trimmed_abstract,active_gold_manifest,qa\trimming\gold_standard\papers\1333.json,data\extraction_json\text\1333.json,,,qa\trimming\gold_standard\papers\1333.json,4460,4510,,,,Published active manually checked gold-standard proceedings trim.,2026-04-13T03:13:17.044920+00:00
